JobClear,companyClear,dateClean,skills,education,language,dateColect,country,cityClear,stateClear,url
Junior Data Analyst,The Aurum Group,2018-01-24, dashboard visualization database database sql server,,,2018-01-24,canada,Calgary,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=205&ao=221861&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_1f0e6918&cb=1516842178738&jobListingId=2645047075
Data Scientist,Blueocean Market Intelligence,2018-01-03, econometrics sql python java econometrics sql python java hadoop hive, bachelor bachelor,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=206&ao=4341&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_4f5efd6c&cb=1516842178739&jobListingId=2436698785
Data Scientist,AeroInfo Systems,2018-01-12, mathematica mathematica value machine learning machine learning hadoop spark cassandra pig hive mathematica visualization tableau database sql nosql java python r, master phd master,,2018-01-24,canada,Vancouver,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=207&ao=186603&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_39fc4cde&cb=1516842178741&jobListingId=2635085189
Data Scientist,Firmex,2018-01-04, feature algorithm model algorithm model feature cloud model model model model cloud visualization visualization database visualization aws value,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=208&ao=66506&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e8626313&cb=1516842178742&jobListingId=2627239128
Data Scientist,First Derivatives,2018-01-08, correlation unstructured data database hadoop hana cloud mathematica java,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=209&ao=135979&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_3b18c586&cb=1516842178744&jobListingId=2610484075
Data Scientist,INgrooves Music Group,2017-12-27, coefficient model mathematica econometrics python scala java r sql pandas hadoop hive spark visualization clustering algorithm model model algorithm data set,,,2018-01-24,canada,Victoria,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=210&ao=4120&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_8f74c274&cb=1516842178746&jobListingId=2599797198
Jr Data Scientist,Fortinet,2018-01-11, scalability database database,,,2018-01-24,canada,Burnaby,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=211&ao=197149&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_e2e67577&cb=1516842178748&jobListingId=2443164657
Remote Sensing Research Scientist,Government of Canada,2018-01-10, correlation data set model model,, english french english french english,2018-01-24,canada,Victoria,BC,https://www.glassdoor.com/partner/jobListing.htm?pos=212&ao=4120&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_1f262c81&cb=1516842178750&jobListingId=2632791117
Data Scientist Data Analytics,KPMG Canada,2018-01-24, value model bias model visualization dashboard model volume unstructured data algorithm database mathematica mathematica econometrics volume r python matlab sas spss scripting perl python java tableau spotfire hadoop hive pig database sql server excel value value, master,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=214&ao=102921&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_63d2c682&cb=1516842178752&jobListingId=2455217787
Data Scientist Internship Starting May,Precima,2018-01-16,,,,2018-01-24,canada,Toronto,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=215&ao=292860&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_aa6c5a9a&cb=1516842178754&jobListingId=2638164820
Summer Data Scientist Internship,Interset,2017-12-27, value mathematica model storage mathematica r hadoop sql spark tableau,,,2018-01-24,canada,Ottawa,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=216&ao=4120&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_d901660f&cb=1516842178756&jobListingId=2599591318
INTERN Analytical Support Data Scientist Engineer,Koch Industries,2018-01-10, value,,,2018-01-24,canada,Kingston,NB,https://www.glassdoor.com/partner/jobListing.htm?pos=217&ao=186603&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_2a4abfc3&cb=1516842178757&jobListingId=2632428713
Data Scientist Big Data,Farmers Edge,2018-01-15, petabyte unstructured data model java python scala spark mapreduce hive storm spark algorithm, phd,,2018-01-24,canada,Calgary,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=218&ao=218665&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_0537a9f1&cb=1516842178759&jobListingId=2637559160
Data Scientist,,2018-01-01, query aws hadoop visualization dashboard hadoop java python spark sql, master phd,,2018-01-24,canada,ND,ND,https://www.glassdoor.com/partner/jobListing.htm?pos=219&ao=14295&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&aa=1&ea=1&cs=1_b1e64294&cb=1516842178761&jobListingId=2580242141
Data Scientist Machine Learning Specialist,Granify,2018-01-17, algorithm perl algorithm aws cloud python spark tableau hadoop model algorithm transactional data value value r tableau value value, phd,,2018-01-24,canada,Edmonton,AB,https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=66506&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_b59af438&cb=1516842178762&jobListingId=2617386676
Associate Data Scientist,PointClickCare,2018-01-07, correlation visualization model model database algorithm visualization mathematica econometrics algorithm sas sql server spss r sas r,,,2018-01-24,canada,Mississauga,ON,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=268514&s=58&guid=000001612ad6d69a9aa8d2bb0a480693&src=GD_JOB_AD&t=SR&extid=1&exst=OL&ist=&ast=OL&vt=w&slr=true&rtp=0&cs=1_dbed2be5&cb=1516842178764&jobListingId=2629985549
